prev_title,curr_title,n,type
other-google,True_Detective_(TV_series),132065,other
other-google,Tyga,131866,other
other-google,List_of_One_Day_International_cricket_records,131688,other
other-google,Alyson_Stoner,131572,other
other-google,Canada,131274,other
other-google,Android_(operating_system),130990,other
other-google,Tiffani_Thiessen,130900,other
other-google,Leonardo_DiCaprio,130861,other
other-google,Hannah_Davis_(model),130511,other
other-google,Industrial_Revolution,129841,other
other-google,Leonardo_da_Vinci,129655,other
other-google,Supernatural_(season_10),129605,other
Main_Page,Birdman_(film),129318,link
other-google,Rae_Sremmurd,129113,other
other-google,Maha_Shivaratri,128666,other
other-google,Android_version_history,128561,other
other-google,Avengers:_Age_of_Ultron,128448,other
other-empty,Denial-of-service_attack,128431,other
other-google,Hafthór_Júlíus_Björnsson,128318,other
Chris_Kyle,Taya_Kyle,128084,link
other-google,USB,128000,other
other-google,Russell_Wilson,127798,other
other-google,The_Vampire_Diaries,127785,other
other-google,The_Fall_(TV_series),127720,other
other-google,List_of_mathematical_symbols,127699,other
other-google,Tupac_Shakur,127505,other
other-google,Kevin_Hart,127130,other
other-google,Five_Nights_at_Freddy's,126944,other
other-google,Power_Rangers,126737,other
other-google,American_Civil_War,126636,other
other-google,Agents_of_S.H.I.E.L.D.,126551,other
other-google,The_Boy_Next_Door_(film),126472,other
other-google,Nelson_Mandela,126336,other
other-google,List_of_New_Girl_episodes,126322,other
other-google,Jennifer_Lawrence,126277,other
other-google,Star_Wars,126272,other
other-twitter,Peter_Woodcock,126259,other
other-google,Scarlett_Johansson,126179,other
other-google,Scorpion_(TV_series),126150,other
other-google,Parks_and_Recreation_(season_7),125276,other
other-google,List_of_The_Originals_episodes,125196,other
other-google,Thomas_Cromwell,125196,other
other-google,Paper_size,125020,other
other-google,Isaac_Newton,124425,other
other-google,September_11_attacks,124411,other
other-google,Ellie_Goulding,124123,other
other-google,List_of_The_Blacklist_episodes,124014,other
other-google,Sergei_Polunin,123755,other
other-google,Big_Sean,123357,other
other-google,Still_Alice,123058,other
other-google,The_Maze_Runner,122926,other
other-google,Bed_size,122783,other
other-google,John_F._Kennedy,122652,other
other-google,Imagine_Dragons,122556,other
other-google,Boko_Haram,122374,other
other-google,Vladimir_Putin,122163,other
other-google,Focus_(2015_film),121867,other
other-google,Millennials,121843,other
other-google,Gamergate_controversy,121765,other
other-google,Fifty_Shades_Darker,121612,other
other-google,Julie_Andrews,121406,other
other-google,Six_Sigma,121076,other
other-google,List_of_Greek_mythological_figures,120954,other
other-google,Dubai,120903,other
other-google,Shameless_(U.S._TV_series),120863,other
other-google,Spartacus,120853,other
other-google,RMS_Titanic,120796,other
other-google,Mother_Teresa,120780,other
other-yahoo,Main_Page,120672,other
other-google,Russia,120353,other
other-google,Parasyte,120061,other
other-twitter,2002_Tampa_plane_crash,119906,other
other-google,Gorilla_Grodd,119652,other
other-google,Bob_Simon,119395,other
other-google,Bobby_Brown,119144,other
other-google,Taj_Mahal,119033,other
other-google,United_Arab_Emirates,118708,other
other-google,List_of_Parks_and_Recreation_episodes,118701,other
other-google,Common_(rapper),118165,other
Parks_and_Recreation,List_of_Parks_and_Recreation_episodes,118156,link
other-empty,The_Flash_(2014_TV_series),118035,other
other-google,Assassin's_Creed,117716,other
other-google,Robin_Williams,117482,other
other-google,Elvis_Presley,117420,other
other-google,Ku_Klux_Klan,117242,other
other-google,Eddie_Murphy,117119,other
Academy_Awards,87th_Academy_Awards,116846,link
other-google,Sons_of_Anarchy,116760,other
other-google,Supernatural_(U.S._TV_series),116622,other
other-google,Furious_7,116569,other
other-google,Eurovision_Song_Contest_2015,116441,other
Fifty_Shades_of_Grey,E._L._James,116208,link
other-google,The_Holocaust,116104,other
other-twitter,Sơn_Đoòng_Cave,116012,other
other-google,List_of_UFC_events,115828,other
other-google,List_of_Walt_Disney_Pictures_films,115593,other
other-google,Harry_Potter_(film_series),115112,other
other-other,YouTube,115073,other
Two_and_a_Half_Men,List_of_Two_and_a_Half_Men_episodes,114901,link
other-google,Amber_Heard,114669,other
other-twitter,The_boy_Jones,114401,other
other-empty,Better_Call_Saul,114278,other
other-google,David_Carr_(journalist),114177,other
other-google,Snoop_Dogg,114052,other
other-google,The_Pirate_Bay,113873,other
other-twitter,William_Leonard_Pickard,113660,other
other-google,WrestleMania_31,113553,other
other-google,Jennifer_Aniston,113393,other
other-google,Saturday_Night_Live,113351,other
The_100_(TV_series),List_of_The_100_episodes,113175,link
other-google,Chris_Pratt,113069,other
other-google,Joseph_Stalin,112739,other
other-google,Modern_Family,112496,other
other-google,Dan_Bilzerian,112455,other
other-google,LeBron_James,112432,other
other-google,Emma_Stone,112428,other
Kingsman:_The_Secret_Service,Taron_Egerton,112428,link
other-google,ATR_72,112378,other
other-google,The_Undertaker,112369,other
other-empty,Islamic_State_of_Iraq_and_the_Levant,112240,other
other-google,Paul_McCartney,112100,other
other-google,Atomic_bombings_of_Hiroshima_and_Nagasaki,112091,other
Birdman_(film),Michael_Keaton,112069,link
other-google,UFC_183,112068,other
other-google,Ronda_Rousey,111301,other
other-google,The_Duff,111183,other
other-google,Japan,111129,other
other-google,New_Zealand,110803,other
other-google,Jihadi_John,110798,other
other-google,2015_Africa_Cup_of_Nations,110740,other
other-google,The_Weeknd,110736,other
other-google,Franklin_D._Roosevelt,110702,other
other-google,Haim_(band),110621,other
other-twitter,War_pig,110293,other
Beck,Morning_Phase,109771,link
Main_Page,When_Will_You_Marry?,109756,other
other-google,Angelina_Jolie,109590,other
other-google,One_Direction,109585,other
other-google,Zlatan_Ibrahimović,109511,other
other-google,Rosamund_Pike,109382,other
other-google,Henry_VIII_of_England,109369,other
other-google,Viscosity,109281,other
other-google,Napoleon,109157,other
other-google,Christina_Aguilera,109033,other
other-other,XXXX,108913,other
other-google,Europe,108799,other
other-google,Mark_Zuckerberg,108628,other
other-google,2015_Mamasapano_clash,108623,other
other-google,Shia_LaBeouf,108538,other
other-google,Spider-Man_(Miles_Morales),108457,other
other-google,The_Hunger_Games:_Mockingjay_–_Part_1,108423,other
other-wikipedia,Fifty_Shades_of_Grey,108233,other
other-google,Internet,108210,other
other-google,Maslow's_hierarchy_of_needs,108154,other
other-google,Chrissy_Teigen,108141,other
other-google,Gilda_Radner,108007,other
other-google,Alejandro_González_Iñárritu,107913,other
other-google,Adam_Levine,107838,other
other-empty,List_of_Top_Gear_episodes,107815,other
other-google,Solar_System,107667,other
other-google,Enigma_machine,107648,other
Stephen_Hawking,Lucy_Hawking,107626,link
other-google,Agile_software_development,107572,other
other-google,Novak_Djokovic,107419,other
other-empty,2015_Cricket_World_Cup,107280,other
other-google,Elizabeth_Berkley,107163,other
other-google,Seventh_Son_(film),107123,other
other-google,Girls_(TV_series),107080,other
other-google,The_Voice_(U.S._TV_series),106588,other
other-empty,List_of_Running_Man_episodes,106369,other
other-google,Incoterms,106323,other
other-google,Clint_Eastwood,106211,other
other-google,List_of_highest-grossing_films,106119,other
other-google,List_of_Modern_Family_episodes,105964,other
other-google,Channing_Tatum,105941,other
other-google,The_Hobbit_(film_series),105871,other
Main_Page,87th_Academy_Awards,105518,link
other-google,Bosch_(TV_series),105509,other
other-google,Oprah_Winfrey,105465,other
other-google,Keira_Knightley,105305,other
other-google,Arnold_Schwarzenegger,105227,other
other-google,Germany,105227,other
other-google,Mortal_Kombat_X,105138,other
other-empty,The_Pirate_Bay,104856,other
other-google,List_of_Brooklyn_Nine-Nine_episodes,104843,other
other-google,Benjamin_Franklin,104675,other
other-google,Glee_(TV_series),104674,other
other-google,Malcolm_Butler_(American_football),104604,other
other-google,Jim_Crow_laws,104591,other
WWE_Fastlane,WrestleMania_31,104466,link
other-google,Virat_Kohli,104312,other
other-google,Revenge_(season_4),104207,other
other-empty,Comparison_of_DNS_blacklists,104196,other
other-google,SWOT_analysis,104144,other
Fifty_Shades_of_Grey,BDSM,104135,link
other-google,Kevin_Garnett,104134,other
other-google,Prince_(musician),104000,other
other-google,Once_Upon_a_Time_(TV_series),103721,other
other-google,Ukraine,103607,other
other-twitter,Hurt_(Nine_Inch_Nails_song),103472,other
other-google,Justin_Bieber,103390,other
other-google,Maroon_5,103280,other
other-google,Cold_War,103185,other
other-google,Global_warming,102945,other
other-google,Stephen_Curry_(basketball),102723,other
other-empty,Fifty_Shades_of_Grey,102596,other
other-empty,Google,102505,other
other-google,Kim_Jong-un,102428,other
other-google,Naruto,101966,other
other-google,Mydala,101935,other
other-google,Chappie_(film),101412,other
other-google,Eye_Candy_(TV_series),101328,other
other-google,Jane_the_Virgin,101290,other
other-google,DNA,100991,other
other-google,Selena_Gomez,100941,other
other-google,Computer,100925,other
other-google,List_of_Person_of_Interest_episodes,100807,other
other-google,List_of_countries_by_GDP_(PPP)_per_capita,100795,other
other-empty,Valentine's_Day,100793,other
other-other,Tablet_computer,100697,other
87th_Academy_Awards,Birdman_(film),100594,link
other-google,Jennifer_Lopez,100433,other
other-google,Black_Mirror_(TV_series),100430,other
other-google,Stalker_(TV_series),100408,other
other-google,Idina_Menzel,100154,other
other-google,Human_penis_size,100124,other
other-google,Glee_(season_6),99871,other
other-empty,Gotham_(TV_series),99716,other
other-google,Gorillaz,99693,other
other-google,Shakira,99513,other
other-google,Felicity_Jones,99474,other
other-google,"Floyd_Mayweather,_Jr._vs._Manny_Pacquiao",99248,other
other-google,X-Men_(film_series),99248,other
other-google,Mike_Tyson,99192,other
other-google,Sachin_Tendulkar,99041,other
Bruce_Jenner,Kris_Jenner,98900,link
other-google,Jhené_Aiko,98561,other
other-google,Firestorm_(comics),98549,other
other-google,List_of_Game_of_Thrones_episodes,98535,other
other-google,Marilyn_Monroe,98523,other
other-google,Israel,98512,other
other-google,List_of_country_calling_codes,98495,other
other-google,Dwayne_Johnson,98248,other
other-google,DC_Universe_Animated_Original_Movies,98231,other
other-google,Charli_XCX,98226,other
other-google,Pablo_Picasso,98207,other
other-google,Kobe_Bryant,98207,other
other-google,Kendrick_Lamar,98168,other
other-google,Fibonacci_number,98152,other
other-google,Meryl_Streep,98023,other
other-google,List_of_U.S._state_abbreviations,97914,other
other-google,Swachh_Bharat_Abhiyan,97835,other
other-google,Vincent_van_Gogh,97631,other
other-google,Muhammad,97560,other
other-empty,List_of_Arrow_episodes,97486,other
other-google,"Love,_Rosie_(film)",97133,other
other-google,Miles_Teller,97057,other
other-google,French_Revolution,97044,other
other-google,Deadpool,96969,other
other-google,Galileo_Galilei,96956,other
other-google,Winston_Churchill,96948,other
The_Vampire_Diaries,List_of_The_Vampire_Diaries_episodes,96907,link
other-google,Slender_Man,96766,other
Top_Gear_(2002_TV_series),List_of_Top_Gear_episodes,96718,link
other-google,List_of_2015_albums,96635,other
other-google,List_of_James_Bond_films,96604,other
other-google,Hong_Kong,96384,other
other-google,Representational_state_transfer,96292,other
other-google,Citizenfour,96200,other
other-google,Doctor_Who,96177,other
Main_Page,Murder_of_Özgecan_Aslan,96119,other
other-google,Johnny_Cash,96110,other
other-google,Variance,96079,other
Game_of_Thrones,List_of_Game_of_Thrones_episodes,96070,link
other-google,Eddie_Huang,96050,other
other-google,Top_Gear_(2002_TV_series),96000,other
other-google,Liam_Neeson,95829,other
other-google,Virtual_private_network,95825,other
other-google,Pharrell_Williams,95769,other
other-google,12_Monkeys_(TV_series),95738,other
other-google,Scott_Walker_(politician),95660,other
other-google,Schizophrenia,95304,other
other-google,London,95231,other
other-google,Joule,95163,other
other-google,E._L._James,95100,other
other-google,Down_syndrome,94945,other
other-google,Grand_Theft_Auto_V,94895,other
other-google,The_Slap_(U.S._TV_series),94781,other
other-google,Wolfgang_Amadeus_Mozart,94749,other
other-google,Warren_Buffett,94690,other
other-google,Jackie_Robinson,94631,other
other-google,Brooklyn_Nine-Nine,94607,other
other-google,Guardians_of_the_Galaxy_(film),94600,other
other-google,List_of_United_States_cities_by_population,94542,other
other-google,Chloë_Grace_Moretz,94508,other
other-google,American_Horror_Story:_Freak_Show,94435,other
other-google,The_Wolf_of_Wall_Street_(2013_film),94398,other
other-wikipedia,Deaths_in_2015,94362,other
other-google,Bruce_Lee,94300,other
other-google,Lana_Del_Rey,94291,other
other-google,Ebola_virus_disease,94227,other
other-google,Cricket,94211,other
other-google,List_of_Family_Guy_episodes,93947,other
other-google,Bali_Nine,93894,other
other-google,European_Union,93893,other
other-google,2015_in_video_gaming,93812,other
other-google,Robert_Durst,93780,other
other-google,Archer_(TV_series),93742,other
other-google,The_Originals_(TV_series),93723,other
other-google,Uber_(company),93648,other
Lunar_New_Year,Chinese_New_Year,93634,link
other-google,Internet_of_Things,93554,other
other-google,Wi-Fi,93347,other
other-google,Elizabeth_II,93303,other
other-google,James_Franco,93247,other
other-google,Fall_Out_Boy,93208,other
other-google,Theodore_Roosevelt,93042,other
other-google,Minecraft,92985,other
Dakota_Johnson,Jordan_Masterson,92862,link
other-google,The_Renaissance,92769,other
other-google,List_of_amendments_to_the_United_States_Constitution,92749,other
other-google,The_Americans_(2013_TV_series),92590,other
Birdman_(film),Alejandro_González_Iñárritu,92445,link
other-google,George_Washington_Carver,92444,other
other-google,The_Hobbit:_The_Battle_of_the_Five_Armies,92441,other
other-google,Pi,92233,other
other-google,Islam,91988,other
other-google,Grammy_Award,91820,other
other-google,Great_Depression,91624,other
other-empty,Super_Bowl_XLIX,91500,other
other-google,Christopher_Columbus,91462,other
other-google,Criminal_Minds,91423,other
other-google,Lark_Voorhies,91419,other
other-google,Black_Death,91375,other
